comuna_nombre,n_consultas,edad_prom,pct_alta_urgencia,pct_hospitalizado
Laureles,40,40.2,12.5,5.0
Buenos Aires,39,40.7,7.7,2.6
Santa Cruz,38,47.3,15.8,7.9
Castilla,37,40.6,8.1,8.1
Aranjuez,34,35.3,5.9,8.8
Manrique,33,39.1,9.1,9.1
La América,33,45.3,15.2,3.0
El Poblado,33,36.8,12.1,6.1
Villa Hermosa,32,37.8,3.1,3.1
Popular,31,34.3,19.4,16.1
Belén,31,48.4,12.9,3.2
La Candelaria,31,36.7,3.2,3.2
Robledo,29,44.4,17.2,3.4
Doce de Octubre,27,49.0,11.1,3.7
Guayabal,27,44.8,11.1,7.4
San Javier,25,36.8,4.0,12.0
